start_date,end_date,label,total_email,brand
04/10/2021,04/10/2021,github_account_deletion,1,miller.jason3737
19/09/2021,19/09/2021,github_device_verification,1,miller.jason3737
13/09/2021,13/09/2021,github_device_verification,1,miller.jason3737
19/09/2021,19/09/2021,google_security_alert,1,miller.jason3737
01/10/2021,01/10/2021,github_device_verification,1,miller.jason3737
19/09/2021,19/09/2021,google_2_steps_verification,1,miller.jason3737
28/09/2021,28/09/2021,github_account_deletion,0,miller.jason3737
27/09/2021,27/09/2021,github_account_deletion,0,miller.jason3737
27/09/2021,27/09/2021,google_policy,0,miller.jason3737
27/09/2021,27/09/2021,google_2_steps_verification,0,miller.jason3737
28/09/2021,28/09/2021,github_device_verification,0,miller.jason3737
28/09/2021,28/09/2021,github_pat,0,miller.jason3737
28/09/2021,28/09/2021,github_deprecation,0,miller.jason3737
28/09/2021,28/09/2021,google_security_alert,0,miller.jason3737
12/09/2021,12/09/2021,github_device_verification,0,miller.jason3737
28/09/2021,28/09/2021,google_policy,0,miller.jason3737
27/09/2021,27/09/2021,github_deprecation,0,miller.jason3737
28/09/2021,28/09/2021,google_2_steps_verification,0,miller.jason3737
29/09/2021,29/09/2021,github_device_verification,0,miller.jason3737
29/09/2021,29/09/2021,github_pat,0,miller.jason3737
29/09/2021,29/09/2021,github_deprecation,0,miller.jason3737
29/09/2021,29/09/2021,google_security_alert,0,miller.jason3737
27/09/2021,27/09/2021,google_security_alert,0,miller.jason3737
27/09/2021,27/09/2021,github_pat,0,miller.jason3737
29/09/2021,29/09/2021,google_policy,0,miller.jason3737
27/09/2021,27/09/2021,github_device_verification,0,miller.jason3737
24/09/2021,24/09/2021,github_account_deletion,0,miller.jason3737
24/09/2021,24/09/2021,google_policy,0,miller.jason3737
24/09/2021,24/09/2021,google_2_steps_verification,0,miller.jason3737
25/09/2021,25/09/2021,github_device_verification,0,miller.jason3737
25/09/2021,25/09/2021,github_pat,0,miller.jason3737
25/09/2021,25/09/2021,github_deprecation,0,miller.jason3737
25/09/2021,25/09/2021,google_security_alert,0,miller.jason3737
25/09/2021,25/09/2021,github_account_deletion,0,miller.jason3737
25/09/2021,25/09/2021,google_policy,0,miller.jason3737
25/09/2021,25/09/2021,google_2_steps_verification,0,miller.jason3737
26/09/2021,26/09/2021,github_device_verification,0,miller.jason3737
26/09/2021,26/09/2021,github_pat,0,miller.jason3737
26/09/2021,26/09/2021,github_deprecation,0,miller.jason3737
26/09/2021,26/09/2021,google_security_alert,0,miller.jason3737
26/09/2021,26/09/2021,github_account_deletion,0,miller.jason3737
26/09/2021,26/09/2021,google_policy,0,miller.jason3737
26/09/2021,26/09/2021,google_2_steps_verification,0,miller.jason3737
29/09/2021,29/09/2021,github_account_deletion,0,miller.jason3737
30/09/2021,30/09/2021,github_device_verification,0,miller.jason3737
29/09/2021,29/09/2021,google_2_steps_verification,0,miller.jason3737
03/10/2021,03/10/2021,github_device_verification,0,miller.jason3737
03/10/2021,03/10/2021,github_deprecation,0,miller.jason3737
03/10/2021,03/10/2021,google_security_alert,0,miller.jason3737
03/10/2021,03/10/2021,github_account_deletion,0,miller.jason3737
03/10/2021,03/10/2021,google_policy,0,miller.jason3737
03/10/2021,03/10/2021,google_2_steps_verification,0,miller.jason3737
04/10/2021,04/10/2021,github_device_verification,0,miller.jason3737
04/10/2021,04/10/2021,github_pat,0,miller.jason3737
04/10/2021,04/10/2021,github_deprecation,0,miller.jason3737
04/10/2021,04/10/2021,google_security_alert,0,miller.jason3737
04/10/2021,04/10/2021,google_policy,0,miller.jason3737
04/10/2021,04/10/2021,google_2_steps_verification,0,miller.jason3737
05/10/2021,05/10/2021,github_device_verification,0,miller.jason3737
05/10/2021,05/10/2021,github_pat,0,miller.jason3737
05/10/2021,05/10/2021,github_deprecation,0,miller.jason3737
05/10/2021,05/10/2021,google_security_alert,0,miller.jason3737
05/10/2021,05/10/2021,github_account_deletion,0,miller.jason3737
05/10/2021,05/10/2021,google_policy,0,miller.jason3737
03/10/2021,03/10/2021,github_pat,0,miller.jason3737
02/10/2021,02/10/2021,google_2_steps_verification,0,miller.jason3737
24/09/2021,24/09/2021,github_deprecation,0,miller.jason3737
02/10/2021,02/10/2021,google_policy,0,miller.jason3737
30/09/2021,30/09/2021,github_pat,0,miller.jason3737
30/09/2021,30/09/2021,github_deprecation,0,miller.jason3737
30/09/2021,30/09/2021,google_security_alert,0,miller.jason3737
30/09/2021,30/09/2021,github_account_deletion,0,miller.jason3737
30/09/2021,30/09/2021,google_policy,0,miller.jason3737
30/09/2021,30/09/2021,google_2_steps_verification,0,miller.jason3737
01/10/2021,01/10/2021,github_pat,0,miller.jason3737
01/10/2021,01/10/2021,github_deprecation,0,miller.jason3737
01/10/2021,01/10/2021,google_security_alert,0,miller.jason3737
01/10/2021,01/10/2021,github_account_deletion,0,miller.jason3737
01/10/2021,01/10/2021,google_policy,0,miller.jason3737
01/10/2021,01/10/2021,google_2_steps_verification,0,miller.jason3737
02/10/2021,02/10/2021,github_device_verification,0,miller.jason3737
02/10/2021,02/10/2021,github_pat,0,miller.jason3737
02/10/2021,02/10/2021,github_deprecation,0,miller.jason3737
02/10/2021,02/10/2021,google_security_alert,0,miller.jason3737
02/10/2021,02/10/2021,github_account_deletion,0,miller.jason3737
24/09/2021,24/09/2021,google_security_alert,0,miller.jason3737
24/09/2021,24/09/2021,github_device_verification,0,miller.jason3737
24/09/2021,24/09/2021,github_pat,0,miller.jason3737
17/09/2021,17/09/2021,google_2_steps_verification,0,miller.jason3737
15/09/2021,15/09/2021,github_deprecation,0,miller.jason3737
15/09/2021,15/09/2021,google_security_alert,0,miller.jason3737
15/09/2021,15/09/2021,github_account_deletion,0,miller.jason3737
15/09/2021,15/09/2021,google_policy,0,miller.jason3737
15/09/2021,15/09/2021,google_2_steps_verification,0,miller.jason3737
16/09/2021,16/09/2021,github_device_verification,0,miller.jason3737
16/09/2021,16/09/2021,github_pat,0,miller.jason3737
16/09/2021,16/09/2021,github_deprecation,0,miller.jason3737
16/09/2021,16/09/2021,google_security_alert,0,miller.jason3737
16/09/2021,16/09/2021,github_account_deletion,0,miller.jason3737
16/09/2021,16/09/2021,google_policy,0,miller.jason3737
16/09/2021,16/09/2021,google_2_steps_verification,0,miller.jason3737
17/09/2021,17/09/2021,github_device_verification,0,miller.jason3737
17/09/2021,17/09/2021,github_pat,0,miller.jason3737
17/09/2021,17/09/2021,github_deprecation,0,miller.jason3737
17/09/2021,17/09/2021,google_security_alert,0,miller.jason3737
17/09/2021,17/09/2021,github_account_deletion,0,miller.jason3737
15/09/2021,15/09/2021,github_pat,0,miller.jason3737
15/09/2021,15/09/2021,github_device_verification,0,miller.jason3737
14/09/2021,14/09/2021,google_2_steps_verification,0,miller.jason3737
13/09/2021,13/09/2021,google_security_alert,0,miller.jason3737
12/09/2021,12/09/2021,github_deprecation,0,miller.jason3737
12/09/2021,12/09/2021,google_security_alert,0,miller.jason3737
12/09/2021,12/09/2021,github_account_deletion,0,miller.jason3737
12/09/2021,12/09/2021,google_policy,0,miller.jason3737
12/09/2021,12/09/2021,google_2_steps_verification,0,miller.jason3737
13/09/2021,13/09/2021,github_pat,0,miller.jason3737
13/09/2021,13/09/2021,github_deprecation,0,miller.jason3737
13/09/2021,13/09/2021,github_account_deletion,0,miller.jason3737
14/09/2021,14/09/2021,google_policy,0,miller.jason3737
13/09/2021,13/09/2021,google_policy,0,miller.jason3737
13/09/2021,13/09/2021,google_2_steps_verification,0,miller.jason3737
14/09/2021,14/09/2021,github_device_verification,0,miller.jason3737
14/09/2021,14/09/2021,github_pat,0,miller.jason3737
14/09/2021,14/09/2021,github_deprecation,0,miller.jason3737
14/09/2021,14/09/2021,google_security_alert,0,miller.jason3737
14/09/2021,14/09/2021,github_account_deletion,0,miller.jason3737
17/09/2021,17/09/2021,google_policy,0,miller.jason3737
18/09/2021,18/09/2021,github_device_verification,0,miller.jason3737
12/09/2021,12/09/2021,github_pat,0,miller.jason3737
18/09/2021,18/09/2021,github_pat,0,miller.jason3737
21/09/2021,21/09/2021,github_account_deletion,0,miller.jason3737
21/09/2021,21/09/2021,google_policy,0,miller.jason3737
21/09/2021,21/09/2021,google_2_steps_verification,0,miller.jason3737
22/09/2021,22/09/2021,github_device_verification,0,miller.jason3737
22/09/2021,22/09/2021,github_pat,0,miller.jason3737
22/09/2021,22/09/2021,github_deprecation,0,miller.jason3737
22/09/2021,22/09/2021,google_security_alert,0,miller.jason3737
22/09/2021,22/09/2021,github_account_deletion,0,miller.jason3737
22/09/2021,22/09/2021,google_policy,0,miller.jason3737
22/09/2021,22/09/2021,google_2_steps_verification,0,miller.jason3737
23/09/2021,23/09/2021,github_device_verification,0,miller.jason3737
23/09/2021,23/09/2021,github_pat,0,miller.jason3737
23/09/2021,23/09/2021,github_deprecation,0,miller.jason3737
23/09/2021,23/09/2021,google_security_alert,0,miller.jason3737
23/09/2021,23/09/2021,github_account_deletion,0,miller.jason3737
23/09/2021,23/09/2021,google_policy,0,miller.jason3737
23/09/2021,23/09/2021,google_2_steps_verification,0,miller.jason3737
21/09/2021,21/09/2021,google_security_alert,0,miller.jason3737
21/09/2021,21/09/2021,github_deprecation,0,miller.jason3737
21/09/2021,21/09/2021,github_pat,0,miller.jason3737
19/09/2021,19/09/2021,github_account_deletion,0,miller.jason3737
18/09/2021,18/09/2021,github_deprecation,0,miller.jason3737
18/09/2021,18/09/2021,google_security_alert,0,miller.jason3737
18/09/2021,18/09/2021,github_account_deletion,0,miller.jason3737
18/09/2021,18/09/2021,google_policy,0,miller.jason3737
18/09/2021,18/09/2021,google_2_steps_verification,0,miller.jason3737
19/09/2021,19/09/2021,github_pat,0,miller.jason3737
19/09/2021,19/09/2021,github_deprecation,0,miller.jason3737
19/09/2021,19/09/2021,google_policy,0,miller.jason3737
21/09/2021,21/09/2021,github_device_verification,0,miller.jason3737
20/09/2021,20/09/2021,github_device_verification,0,miller.jason3737
20/09/2021,20/09/2021,github_pat,0,miller.jason3737
20/09/2021,20/09/2021,github_deprecation,0,miller.jason3737
20/09/2021,20/09/2021,google_security_alert,0,miller.jason3737
20/09/2021,20/09/2021,github_account_deletion,0,miller.jason3737
20/09/2021,20/09/2021,google_policy,0,miller.jason3737
20/09/2021,20/09/2021,google_2_steps_verification,0,miller.jason3737
05/10/2021,05/10/2021,google_2_steps_verification,0,miller.jason3737
12/09/2021,12/09/2021,google_security_alert,0,faysal3767
12/09/2021,12/09/2021,github_account_deletion,0,faysal3767
12/09/2021,12/09/2021,google_2_steps_verification,0,faysal3767
12/09/2021,12/09/2021,github_device_verification,0,faysal3767
12/09/2021,12/09/2021,google_policy,0,faysal3767
13/09/2021,13/09/2021,google_security_alert,0,faysal3767
13/09/2021,13/09/2021,github_account_deletion,0,faysal3767
13/09/2021,13/09/2021,google_2_steps_verification,0,faysal3767
13/09/2021,13/09/2021,github_device_verification,0,faysal3767
13/09/2021,13/09/2021,google_policy,0,faysal3767
14/09/2021,14/09/2021,google_security_alert,0,faysal3767
14/09/2021,14/09/2021,github_account_deletion,0,faysal3767
14/09/2021,14/09/2021,google_2_steps_verification,0,faysal3767
14/09/2021,14/09/2021,github_device_verification,0,faysal3767
14/09/2021,14/09/2021,google_policy,0,faysal3767
15/09/2021,15/09/2021,google_security_alert,0,faysal3767
15/09/2021,15/09/2021,github_account_deletion,0,faysal3767
15/09/2021,15/09/2021,google_2_steps_verification,0,faysal3767
15/09/2021,15/09/2021,github_device_verification,0,faysal3767
15/09/2021,15/09/2021,google_policy,0,faysal3767
16/09/2021,16/09/2021,google_security_alert,0,faysal3767
16/09/2021,16/09/2021,github_account_deletion,0,faysal3767
16/09/2021,16/09/2021,google_2_steps_verification,0,faysal3767
16/09/2021,16/09/2021,github_device_verification,0,faysal3767
16/09/2021,16/09/2021,google_policy,0,faysal3767
17/09/2021,17/09/2021,google_security_alert,0,faysal3767
17/09/2021,17/09/2021,github_account_deletion,0,faysal3767
17/09/2021,17/09/2021,google_2_steps_verification,0,faysal3767
17/09/2021,17/09/2021,github_device_verification,0,faysal3767
17/09/2021,17/09/2021,google_policy,0,faysal3767
18/09/2021,18/09/2021,google_security_alert,0,faysal3767
18/09/2021,18/09/2021,github_account_deletion,0,faysal3767
18/09/2021,18/09/2021,google_2_steps_verification,0,faysal3767
18/09/2021,18/09/2021,github_device_verification,0,faysal3767
18/09/2021,18/09/2021,google_policy,0,faysal3767
19/09/2021,19/09/2021,google_security_alert,0,faysal3767
19/09/2021,19/09/2021,github_account_deletion,0,faysal3767
19/09/2021,19/09/2021,google_2_steps_verification,0,faysal3767
19/09/2021,19/09/2021,github_device_verification,0,faysal3767
19/09/2021,19/09/2021,google_policy,0,faysal3767
20/09/2021,20/09/2021,google_security_alert,0,faysal3767
20/09/2021,20/09/2021,github_account_deletion,0,faysal3767
20/09/2021,20/09/2021,google_2_steps_verification,0,faysal3767
20/09/2021,20/09/2021,github_device_verification,0,faysal3767
20/09/2021,20/09/2021,google_policy,0,faysal3767
21/09/2021,21/09/2021,google_security_alert,0,faysal3767
21/09/2021,21/09/2021,github_account_deletion,0,faysal3767
21/09/2021,21/09/2021,google_2_steps_verification,0,faysal3767
21/09/2021,21/09/2021,github_device_verification,0,faysal3767
21/09/2021,21/09/2021,google_policy,0,faysal3767
22/09/2021,22/09/2021,google_security_alert,0,faysal3767
22/09/2021,22/09/2021,github_account_deletion,0,faysal3767
22/09/2021,22/09/2021,google_2_steps_verification,0,faysal3767
22/09/2021,22/09/2021,github_device_verification,0,faysal3767
22/09/2021,22/09/2021,google_policy,0,faysal3767
23/09/2021,23/09/2021,google_security_alert,0,faysal3767
23/09/2021,23/09/2021,github_account_deletion,0,faysal3767
23/09/2021,23/09/2021,google_2_steps_verification,0,faysal3767
23/09/2021,23/09/2021,github_device_verification,0,faysal3767
23/09/2021,23/09/2021,google_policy,0,faysal3767
24/09/2021,24/09/2021,google_security_alert,0,faysal3767
24/09/2021,24/09/2021,github_account_deletion,0,faysal3767
24/09/2021,24/09/2021,google_2_steps_verification,0,faysal3767
24/09/2021,24/09/2021,github_device_verification,0,faysal3767
24/09/2021,24/09/2021,google_policy,0,faysal3767
25/09/2021,25/09/2021,google_security_alert,0,faysal3767
25/09/2021,25/09/2021,github_account_deletion,0,faysal3767
25/09/2021,25/09/2021,google_2_steps_verification,0,faysal3767
25/09/2021,25/09/2021,github_device_verification,0,faysal3767
25/09/2021,25/09/2021,google_policy,0,faysal3767
26/09/2021,26/09/2021,google_security_alert,0,faysal3767
26/09/2021,26/09/2021,github_account_deletion,0,faysal3767
26/09/2021,26/09/2021,google_2_steps_verification,0,faysal3767
26/09/2021,26/09/2021,github_device_verification,0,faysal3767
26/09/2021,26/09/2021,google_policy,0,faysal3767
27/09/2021,27/09/2021,google_security_alert,0,faysal3767
27/09/2021,27/09/2021,github_account_deletion,0,faysal3767
27/09/2021,27/09/2021,google_2_steps_verification,0,faysal3767
27/09/2021,27/09/2021,github_device_verification,0,faysal3767
27/09/2021,27/09/2021,google_policy,0,faysal3767
28/09/2021,28/09/2021,google_security_alert,0,faysal3767
28/09/2021,28/09/2021,github_account_deletion,0,faysal3767
28/09/2021,28/09/2021,google_2_steps_verification,0,faysal3767
28/09/2021,28/09/2021,github_device_verification,0,faysal3767
28/09/2021,28/09/2021,google_policy,0,faysal3767
29/09/2021,29/09/2021,google_security_alert,0,faysal3767
29/09/2021,29/09/2021,github_account_deletion,0,faysal3767
29/09/2021,29/09/2021,google_2_steps_verification,0,faysal3767
29/09/2021,29/09/2021,github_device_verification,0,faysal3767
29/09/2021,29/09/2021,google_policy,0,faysal3767
30/09/2021,30/09/2021,google_security_alert,0,faysal3767
30/09/2021,30/09/2021,github_account_deletion,0,faysal3767
30/09/2021,30/09/2021,google_2_steps_verification,0,faysal3767
30/09/2021,30/09/2021,github_device_verification,0,faysal3767
30/09/2021,30/09/2021,google_policy,0,faysal3767
01/10/2021,01/10/2021,google_security_alert,0,faysal3767
01/10/2021,01/10/2021,github_account_deletion,0,faysal3767
01/10/2021,01/10/2021,google_2_steps_verification,0,faysal3767
01/10/2021,01/10/2021,github_device_verification,0,faysal3767
01/10/2021,01/10/2021,google_policy,0,faysal3767
02/10/2021,02/10/2021,google_security_alert,0,faysal3767
02/10/2021,02/10/2021,github_account_deletion,0,faysal3767
02/10/2021,02/10/2021,google_2_steps_verification,0,faysal3767
02/10/2021,02/10/2021,github_device_verification,0,faysal3767
02/10/2021,02/10/2021,google_policy,0,faysal3767
03/10/2021,03/10/2021,google_security_alert,0,faysal3767
03/10/2021,03/10/2021,github_account_deletion,0,faysal3767
03/10/2021,03/10/2021,google_2_steps_verification,0,faysal3767
03/10/2021,03/10/2021,github_device_verification,0,faysal3767
03/10/2021,03/10/2021,google_policy,0,faysal3767
04/10/2021,04/10/2021,google_security_alert,1,faysal3767
04/10/2021,04/10/2021,github_account_deletion,1,faysal3767
04/10/2021,04/10/2021,google_2_steps_verification,1,faysal3767
04/10/2021,04/10/2021,github_device_verification,1,faysal3767
04/10/2021,04/10/2021,google_policy,0,faysal3767
05/10/2021,05/10/2021,google_security_alert,0,faysal3767
05/10/2021,05/10/2021,github_account_deletion,0,faysal3767
05/10/2021,05/10/2021,google_2_steps_verification,0,faysal3767
05/10/2021,05/10/2021,github_device_verification,0,faysal3767
05/10/2021,05/10/2021,google_policy,0,faysal3767
